"","x"
"246","Angiolini, L., Jadoul, F., Leng, M. J., Stephenson, M. H., Rushton, J., Chenery, S., and Crippa, G. 2009"
"247","Brand, U. 2004"
"248","Saltzman 2003"
"249","Bruckschen, P., Oesmann, S., and Veizer, J. 1999"
"250","Grossman, E.L., Zhang, C., and Yancey, T.E. 1991"
"251","Mii, H.-S., Grossman, E.L., and Yancey, T.E. 1999"
"252","Roark, A., Flake, R., Grossman, E. L., Olszewski, T., Lebold, J., Thomas, D., Marcantonio, F., Miller, B., Raymond, A., and Yancey, T. 2017"
"253","Grossman, E.L., Mii, H.-S., and Yancey, T.E. 1993"
"254","Mii, H.-S., Grossman, E.L., Yancey, T.E., Chuvashov, B., and Egorov, A. 2001"
"255","Immenhauser, A., Kenter, J.A., Ganssen, G., Bahamonde, J.R., Vliet, A.V., and Saher, M.H. 2002"
"256","Bruckschen, P., Veizer, J. Schwark, L., and Leythaeuser, D. 2001"
"257","Batt et al. 2007"
"258","Brand, U., and Brenckle, P. 2001"
"259","Yao, Le, Jiang, G., Mii, H-S., Lin, Y., Aretz, M., Chen, J., Qi, Y., Lin, W., Wang, Q., Wang, X. 2022"
"260","Armendriz, M., Rosales, I., and Quesada, C. 2008"
"261","Brand, U., and Veizer, J. 1981"
"262","Stanton, R.J., Jeffery, D.L., and Ahr, W.M. 2002"
"263","Stolfus et al. 2020"
"264","Brand, U., and Legrand-Blain, M. 1993"
"265","Buggisch & Joachimski 2006"
"266","Veizer, J., Ala, D., Azmy, K., Bruckschen, P., Buhl, D., Bruhn, F., Carden, G., Diener, A., Ebneth, S., Gobberis, Y., Jasper, T., Korte, C., Pawellek, F., Podlaha, O., and Strauss, H. 1999"
"267","Xu et al. 2012"
"268","van Geldern, R., Joachimski, M., Day, J., Jansen, U., Alvarez, F., Yolkin, E., and Ma, X.-P. 2006"
"269","Holmden et al. 2006"
"270","Delaney, M. L., Popp, B. N., Lepzelter, C. G.and Anderson, T. F. 1989"
"271","Zambito et al. 2016"
"272","Popp, B. N., Anderson, T. F. and Sandberg, P. A. 1986"
"273","van Hengstum & Grocke 2008"
"274","Buggisch & Mann 2004"
"275","Van Geldern et al 2006"
"276","Lavoie, D. 1993"
"277","Azmy, K., Veizer, J., Bassett, M.G., Copper, P. 1998"
"278","Kaljo et al. 2012"
"279","Fryda & Manda 2013"
"280","Jeppsson et al. 2012"
"281","Samtleben, C., Munneke, A., Bickert, T. and Pstzold, J. 1996"
"282","Wenzel, B and Joachimski, M. M. 1996"
"283","Jeppsson et al. 2007"
