age,d13C,source,assigned.location,assigned.lat,assigned.lon,category,X,plng_PALEOMAP,plat_PALEOMAP,validtime_PALEOMAP,plng_MERDITH2021,plat_MERDITH2021,validtime_MERDITH2021,plng_CAO2024,plat_CAO2024,validtime_CAO2024,plng_TorsvikCocks2017,plat_TorsvikCocks2017,validtime_TorsvikCocks2017,MAT,GMST_Li22,GMST_PhanDA,GMST_PhanDA_hi,GMST_PhanDA_lo,temp_offset,temp_offset_PhanDA
183.705366,2.17,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.789721481,30.11847869,TRUE,10.58538758,26.27414124,TRUE,10.58538758,26.27414124,TRUE,-19.25489321,32.96416287,TRUE,25.50764809,20.1035875,25.31127181,30.15574164,22.08787842,5.404060589,0.196376277
183.707178,2.33,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.789310993,30.11856015,TRUE,10.58506009,26.27394876,TRUE,10.58506009,26.27394876,TRUE,-19.25533983,32.96376116,TRUE,25.50752154,20.10350775,25.31082048,30.15596703,22.08741867,5.404013792,0.196701063
183.70899,2.41,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.788900504,30.11864161,TRUE,10.58473262,26.27375627,TRUE,10.58473262,26.27375627,TRUE,-19.25578644,32.96335945,TRUE,25.50739499,20.103428,25.31036914,30.15619243,22.08695892,5.403966995,0.197025848
183.71,2.55,"Metodiev, L., and Koleva-Rekalova, E. 2008",Western Balkan Mountains (south of the Moesian PF),43.05,23.38,Belemnite,,26.50134204,21.20027793,FALSE,42.08251614,39.18559851,TRUE,42.08251614,39.18559851,TRUE,32.65940054,40.98808815,TRUE,27.69139987,20.10338355,25.31011757,30.15631806,22.08670266,7.588016327,2.381282299
183.71,1.7,"Schootbrugge, B.V.D., McArthur, J.M., Bailey, T.R., Rosenthal, Y., Wright, J.D., Miller, K.G. 2005",Basque-Cantabrian Basin,43.22,-3.97,Belemnite,,9.065647287,31.68786718,TRUE,16.28575054,28.70066939,TRUE,16.28575054,28.70066939,TRUE,6.32358856,33.80799135,TRUE,23.00946749,20.10338355,25.31011757,30.15631806,22.08670266,2.906083941,-2.300650087
183.71,3.51,"Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010",Peniche,39.36,-9.35,Brachiopod calcite,,2.820417453,30.10446239,TRUE,10.61729622,26.26394242,TRUE,10.61729622,26.26394242,TRUE,-0.048478899,32.17584772,TRUE,25.50732446,20.10338355,25.31011757,30.15631806,22.08670266,5.40394091,0.197206882
183.71,0.5,"Suan, G., Mattioli, E., Pittet, B., Mailliot, S., and Lcuyer, C. 2008",Suan 1,39.36,-9.35,Brachiopod calcite,,2.820417453,30.10446239,TRUE,10.61729622,26.26394242,TRUE,10.61729622,26.26394242,TRUE,-0.048478899,32.17584772,TRUE,25.50732446,20.10338355,25.31011757,30.15631806,22.08670266,5.40394091,0.197206882
183.710801,2.45,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.788490238,30.11872302,TRUE,10.58440532,26.27356389,TRUE,10.58440532,26.27356389,TRUE,-19.2562328,32.96295795,TRUE,25.50726851,20.10334829,25.30991806,30.15641769,22.08649943,5.403920224,0.197350454
183.712613,2.44,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.788079744,30.11880446,TRUE,10.58407786,26.2733714,TRUE,10.58407786,26.2733714,TRUE,-19.25667939,32.96255622,TRUE,25.50714197,20.10326854,25.30946673,30.15664308,22.08603968,5.403873427,0.19767524
183.714425,2.44,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.787669247,30.1188859,TRUE,10.58375039,26.27317891,TRUE,10.58375039,26.27317891,TRUE,-19.25712598,32.96215449,TRUE,25.50701542,20.10318879,25.30901539,30.15686848,22.08557993,5.40382663,0.198000025
183.716237,2.41,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.787258748,30.11896733,TRUE,10.58342293,26.27298641,TRUE,10.58342293,26.27298641,TRUE,-19.25757255,32.96175275,TRUE,25.50688887,20.10310904,25.30856406,30.15709387,22.08512018,5.403779833,0.198324811
183.718049,2.38,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.786848247,30.11904876,TRUE,10.58309548,26.27279392,TRUE,10.58309548,26.27279392,TRUE,-19.25801912,32.96135101,TRUE,25.50676232,20.10302929,25.30811273,30.15731926,22.08466043,5.403733036,0.198649596
183.719861,2.41,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.786437743,30.11913018,TRUE,10.58276803,26.27260142,TRUE,10.58276803,26.27260142,TRUE,-19.25846568,32.96094926,TRUE,25.50663578,20.10294954,25.30766139,30.15754465,22.08420069,5.403686239,0.198974382
183.721673,2.38,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.786027237,30.1192116,TRUE,10.58244059,26.27240891,TRUE,10.58244059,26.27240891,TRUE,-19.25891223,32.96054751,TRUE,25.50650923,20.10286979,25.30721006,30.15777004,22.08374094,5.403639442,0.199299167
183.723484,2.3,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.785616955,30.11929297,TRUE,10.58211333,26.27221651,TRUE,10.58211333,26.27221651,TRUE,-19.25935852,32.96014597,TRUE,25.50638275,20.10279008,25.30675898,30.15799531,22.08328144,5.403592671,0.199623773
183.725296,2.19,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.785206444,30.11937437,TRUE,10.58178589,26.27202401,TRUE,10.58178589,26.27202401,TRUE,-19.25980505,32.95974421,TRUE,25.5062562,20.10271033,25.30630764,30.1582207,22.08282169,5.403545874,0.199948559
183.727108,2.12,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.784795931,30.11945577,TRUE,10.58145846,26.2718315,TRUE,10.58145846,26.2718315,TRUE,-19.26025157,32.95934244,TRUE,25.50612965,20.10263058,25.30585631,30.15844609,22.08236194,5.403499077,0.200273344
183.72892,1.99,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.784385416,30.11953716,TRUE,10.58113104,26.27163898,TRUE,10.58113104,26.27163898,TRUE,-19.26069809,32.95894066,TRUE,25.50600311,20.10255083,25.30540498,30.15867148,22.08190219,5.40345228,0.20059813
183.730732,2.21,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.783974898,30.11961855,TRUE,10.58080362,26.27144647,TRUE,10.58080362,26.27144647,TRUE,-19.26114459,32.95853888,TRUE,25.50587656,20.10247108,25.30495364,30.15889688,22.08144245,5.403405483,0.200922915
183.732544,2.34,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.783564378,30.11969993,TRUE,10.5804762,26.27125395,TRUE,10.5804762,26.27125395,TRUE,-19.26159109,32.9581371,TRUE,25.50575001,20.10239133,25.30450231,30.15912227,22.0809827,5.403358686,0.201247701
183.734355,2.27,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.783154082,30.11978126,TRUE,10.58014897,26.27106153,TRUE,10.58014897,26.27106153,TRUE,-19.26203733,32.95773553,TRUE,25.50562353,20.10231162,25.30405123,30.15934753,22.0805232,5.403311914,0.201572307
183.736167,2.33,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.782743557,30.11986264,TRUE,10.57982156,26.27086901,TRUE,10.57982156,26.27086901,TRUE,-19.26248381,32.95733373,TRUE,25.50549699,20.10223187,25.30359989,30.15957293,22.08006345,5.403265117,0.201897092
183.737979,2.23,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.78233303,30.119944,TRUE,10.57949416,26.27067648,TRUE,10.57949416,26.27067648,TRUE,-19.26293028,32.95693193,TRUE,25.50537044,20.10215212,25.30314856,30.15979832,22.0796037,5.403218321,0.202221878
183.739791,2.18,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.7819225,30.12002536,TRUE,10.57916676,26.27048395,TRUE,10.57916676,26.27048395,TRUE,-19.26337674,32.95653012,TRUE,25.50524389,20.10207237,25.30269723,30.16002371,22.07914396,5.403171524,0.202546663
183.741603,2.18,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.781511968,30.12010671,TRUE,10.57883937,26.27029142,TRUE,10.57883937,26.27029142,TRUE,-19.26382319,32.95612831,TRUE,25.50511734,20.10199262,25.30224589,30.1602491,22.07868421,5.403124727,0.202871449
183.743415,2.1,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.781101434,30.12018806,TRUE,10.57851198,26.27009889,TRUE,10.57851198,26.27009889,TRUE,-19.26426963,32.95572649,TRUE,25.50499079,20.10191287,25.30179456,30.16047449,22.07822446,5.40307793,0.203196234
183.745227,2.06,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.780690897,30.1202694,TRUE,10.5781846,26.26990635,TRUE,10.5781846,26.26990635,TRUE,-19.26471606,32.95532467,TRUE,25.50486425,20.10183311,25.30134323,30.16069988,22.07776471,5.403031133,0.203521019
183.747038,2.08,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.780280585,30.1203507,TRUE,10.5778574,26.26971392,TRUE,10.5778574,26.26971392,TRUE,-19.26516224,32.95492306,TRUE,25.50473777,20.10175341,25.30089214,30.16092515,22.07730521,5.402984361,0.203845626
183.74885,2.07,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.779870044,30.12043203,TRUE,10.57753003,26.26952138,TRUE,10.57753003,26.26952138,TRUE,-19.26560866,32.95452123,TRUE,25.50461122,20.10167366,25.30044081,30.16115054,22.07684547,5.402937564,0.204170411
183.750662,2.12,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.7794595,30.12051335,TRUE,10.57720266,26.26932883,TRUE,10.57720266,26.26932883,TRUE,-19.26605506,32.95411939,TRUE,25.50448467,20.10159391,25.29998948,30.16137593,22.07638572,5.402890768,0.204495196
183.752474,2.09,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.779048954,30.12059467,TRUE,10.5768753,26.26913628,TRUE,10.5768753,26.26913628,TRUE,-19.26650146,32.95371755,TRUE,25.50435813,20.10151416,25.29953814,30.16160133,22.07592597,5.402843971,0.204819982
183.754286,2.24,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.778638406,30.12067599,TRUE,10.57654794,26.26894373,TRUE,10.57654794,26.26894373,TRUE,-19.26694785,32.9533157,TRUE,25.50423158,20.1014344,25.29908681,30.16182672,22.07546622,5.402797174,0.205144767
183.756098,2.05,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.778227855,30.12075729,TRUE,10.57622058,26.26875118,TRUE,10.57622058,26.26875118,TRUE,-19.26739423,32.95291384,TRUE,25.50410503,20.10135465,25.29863548,30.16205211,22.07500647,5.402750377,0.205469553
183.757909,2.11,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.777817529,30.12083855,TRUE,10.57589341,26.26855873,TRUE,10.57589341,26.26855873,TRUE,-19.26784036,32.9525122,TRUE,25.50397855,20.10127495,25.29818439,30.16227738,22.07454697,5.402703605,0.205794159
183.759721,2.19,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.777406973,30.12091985,TRUE,10.57556607,26.26836617,TRUE,10.57556607,26.26836617,TRUE,-19.26828672,32.95211034,TRUE,25.503852,20.1011952,25.29773306,30.16250277,22.07408723,5.402656808,0.206118944
183.761533,2.21,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.776996416,30.12100114,TRUE,10.57523873,26.26817361,TRUE,10.57523873,26.26817361,TRUE,-19.26873307,32.95170846,TRUE,25.50372546,20.10111545,25.29728173,30.16272816,22.07362748,5.402610011,0.20644373
183.763345,2.17,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.776585856,30.12108242,TRUE,10.57491139,26.26798105,TRUE,10.57491139,26.26798105,TRUE,-19.26917942,32.95130659,TRUE,25.50359891,20.10103569,25.29683039,30.16295355,22.07316773,5.402563215,0.206768515
