"run.profile","parameter","median","lower","upper","Rhat","ESS"
"plate_torsvik2017","bel.nsb_tau",1001806.52409631,940181.856120231,1061497.09411357,1.04180573223554,151.404739669767
"plate_torsvik2017","micrite.nsb_tau",999058.31581792,943982.678272223,1073309.58275352,1.06149470339373,89.0483326005912
"plate_torsvik2017","bulk.nsb_tau",993448.347515802,926693.751899161,1058909.26217477,1.02798585383079,94.7179833753574
"plate_torsvik2017","bulk_sr.nsb_tau",1003727.96295909,938408.974717278,1065088.6596828,1.02959040870388,97.5541459211625
"plate_torsvik2017","bulk_marg.nsb_tau",997911.317711435,944345.377872763,1072950.29260169,1.01014095229129,414.476298177502
"plate_torsvik2017","bf.archive_level",-12.1981403366424,-12.8715983003043,-11.6178668609351,1.78554736271411,29.6044804422828
"plate_torsvik2017","pf.archive_level",4.10493353590527,3.41160067132375,4.65007690408138,1.81899561063564,16.4030695547517
"plate_torsvik2017","brach.archive_level",3.75293457758531,3.05055891941248,4.29420283306135,1.8181928127293,21.8952817321999
"plate_torsvik2017","bivalve.archive_level",4.65978639132443,3.95718151321614,5.20114949401363,1.81480111311309,22.6184534570134
"plate_torsvik2017","amm.archive_level",2.27843930287364,1.57139662709277,2.8268690998164,1.80288431439545,22.6518305733851
"plate_torsvik2017","bel.archive_level",2.2588892980397,1.55454994769819,2.7991195960481,1.8153410295503,23.8060954439882
"plate_torsvik2017","micrite.archive_level",4.21315261515925,3.42415347348701,4.86249225208948,1.60650924507215,55.1022369526744
"plate_torsvik2017","bulk.archive_level",3.46647221997276,2.76356588222465,4.00772348481305,1.81921015676927,23.4825193991726
"plate_torsvik2017","bulk_sr.archive_level",2.28512368121161,1.50274873069821,2.93343417719659,1.61952959106873,48.4316220753185
"plate_torsvik2017","bulk_marg.archive_level",3.16128166803279,2.46045682199047,3.70250689898398,1.81738745717384,22.6586166721296
"plate_merdith2021","d13CO2_sigma",0.0999617643082556,0.099799835607307,0.0999986005309068,0.999950123863684,24000
"plate_merdith2021","GMST_sigma",0.499614981280129,0.49794881314366,0.499986210177106,1.0002192016815,23870.113486815
"plate_merdith2021","BWT_sigma",0.485719867013321,0.438034105756071,0.499457341286747,1.00024118565537,11824.7744917899
"plate_merdith2021","cc_co2_constant1",12.0617839301153,11.8288042010581,12.2246200053599,1.00000997484574,24177.6263746104
"plate_merdith2021","cc_co2_coeff1",0.139993424678884,0.139964679936911,0.139999726878766,1.0000546668316,23625.0441655813
"plate_merdith2021","asd",1.01963593576541,0.627972514748635,1.40738410126348,1.00002608838156,23846.6667443126
"plate_merdith2021","bpump",2.19529941696308,1.5985093198209,2.78333079777171,1.00022328068184,22413.5601337568
"plate_merdith2021","remin",1.15943832433076,0.646449826555714,1.66327691112624,1.00006967058004,23660.3695504501
"plate_merdith2021","f_co3",0.00310511739901644,0.000113152675741208,0.0159986205946466,1.00429886863029,409.71069930411
"plate_merdith2021","f_carbacid",0.00476430951921012,0.000269028506179404,0.0137633529437596,1.0042127473184,982.659730363761
"plate_merdith2021","Abf",4.3723228475359,3.70224735592099,5.02959399787196,1.00026810256217,11864.8503403124
"plate_merdith2021","Asurf",1.01963593576541,0.627972514748635,1.40738410126348,1.00002608838156,23846.6667443126
