"","age","d13C","source","assigned location","assigned lat","assigned lon","category"
"27083"," 93.502588"," 3.95000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27084"," 93.506397"," 3.89900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27085"," 93.509779"," 3.86700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27086"," 93.513582"," 3.80900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27087"," 93.517380"," 3.80200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27088"," 93.521176"," 3.79600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27089"," 93.524545"," 3.72200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27090"," 93.528334"," 3.73000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27091"," 93.532118"," 3.82000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27092"," 93.535899"," 3.73800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27093"," 93.539256"," 3.73200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27094"," 93.546799"," 3.71100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27095"," 93.550566"," 3.66700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27096"," 93.553910"," 3.75500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27097"," 93.557669"," 3.80400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27098"," 93.561424"," 3.76400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27099"," 93.565175"," 3.81000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27100"," 93.568923"," 3.81700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27101"," 93.572252"," 3.83100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27102"," 93.575992"," 3.87100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27103"," 93.579728"," 3.86800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27104"," 93.583461"," 3.93000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27105"," 93.586777"," 3.92100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27106"," 93.590502"," 3.93300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27107"," 93.594224"," 3.85500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27108"," 93.597942"," 3.70100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27109"," 93.601244"," 3.61200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
