age,d13C,source,assigned location,assigned lat,assigned lon,category,
182.23,1.28,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.25,3.11,Belemnite,
182.23,1.48,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.25,3.11,Belemnite,
182.230311,3.17,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.231189,3.09,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.232067,3.2,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.232945,3.22,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.233823,3.02,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.234701,2.91,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.235579,2.98,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.236457,2.89,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.237334,2.69,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.238212,2.63,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.23909,2.58,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.239968,2.49,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.240846,2.51,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.241724,2.59,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.242602,2.77,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.248747,2.84,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.249625,2.73,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.25,1.4,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.25,3.11,Belemnite,
182.25,1.46,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.25,3.11,Belemnite,
182.25,2.05,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.25,3.11,Belemnite,
182.25,1.35,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.49,3.49,Belemnite,
182.25,1.6,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.49,3.49,Belemnite,
182.25,2.64,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.25,2.79,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.25,3.03,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.25,3.17,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.25,3.42,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.25,2.25,"Mcarthur, J., Donovan, D., Thirlwall, M., Fouke, B., and Mattey, D. 2000",Cleveland Basin (Yorkshire Coast),54.49,-0.59,Belemnite,
182.25,5.6,"Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010",Prado,39.64,-8.4,Brachiopod calcite,
182.250503,2.7,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.251381,2.6,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.252259,2.62,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.253137,2.72,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.254014,2.95,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.254892,3.2,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.25577,3.69,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.256648,3.69,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.257526,3.61,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.258404,3.61,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.259282,3.41,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.26,2.32,"Mcarthur, J., Donovan, D., Thirlwall, M., Fouke, B., and Mattey, D. 2000",Cleveland Basin (Yorkshire Coast),54.53,-0.75,Belemnite,
182.26016,3.45,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.261037,3.61,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.261915,3.67,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.262793,3.64,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.263671,3.22,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.264549,3.48,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.265427,3.56,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.266305,3.58,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.267183,3.6,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.268061,3.61,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.268938,3.65,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.269816,3.64,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.270694,3.65,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.271572,3.54,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.27245,3.51,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.273328,3.46,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.274206,3.57,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.275084,3.52,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.275962,3.54,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.27684,3.51,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.277717,3.26,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.278595,3.23,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.279473,3.3,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.28,1.53,"Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012",Grands Causses Basin,44.25,3.11,Belemnite,
182.280351,2.95,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.281229,3.4,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.282107,3.37,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.282985,3.12,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.283863,3.4,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.284741,3.24,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.285618,3.3,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.286496,3.29,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.287374,3.54,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.288252,3.48,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.28913,3.45,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.290008,3.48,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.290886,3.41,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.291764,3.36,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.292642,3.32,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.29352,3.35,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.294397,3.44,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.295275,3.44,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.296153,3.5,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.297031,3.46,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.297909,3.37,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.298787,3.22,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
